Company Name,NIFTY closing ,Date ,Market Capitalisation,EPS ,P/E ,P/B ,NIFTY closing ,Date ,Market Capitalisation,EPS ,P/E ,P/B ,NIFTY closing ,Date ,Market Capitalisation,EPS ,P/E ,P/B ,NIFTY closing ,Date ,Market Capitalisation,EPS ,P/E ,P/B ,NIFTY closing ,Date ,Market Capitalisation,EPS ,P/E ,P/B ,NIFTY closing ,Date ,Market Capitalisation,EPS ,P/E ,P/B ,NIFTY closing ,Date ,Market Capitalisation,EPS ,P/E ,P/B ,NIFTY closing ,Date ,Market Capitalisation,EPS ,P/E ,P/B ,NIFTY closing ,Date ,Market Capitalisation,EPS ,P/E ,P/B ,NIFTY closing ,Date ,Market Capitalisation,EPS ,P/E ,P/B ,NIFTY closing ,Date ,Market Capitalisation,EPS ,P/E ,P/B 
Cupid Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,9173.75,31-03-2017,3648.5,18.57,17.68,6.76,10113.7,28-03-2018,2633.7,17.41,13.61,3.98,11623.9,29-03-2019,1865.32,9.93,14.09,2.58,8597.75,31-03-2020,1881.99,29.8,4.73,1.82,14690.7,31-03-2021,2799.65,22.06,9.52,2.14,17464.75,31-03-2022,3159.77,13.32,17.79,2.22,17359.75,31-03-2023,3375.18,23.38,10.82,2.02
Cura Technologies Ltd.,5682.55,28-03-2013,139.98,-0.23,,0.17,6589.75,25-03-2014,172.47,-9.11,,0.24,8342.15,26-03-2015,103.19,3.42,3.16,0.14,7738.4,31-03-2016,43.48,-0.17,,0.09,9173.75,31-03-2017,124.21,-38.08,,5.35,10817,18-01-2018,52.55,-15.56,,3.28,11570,28-03-2019,12.42,-1.42,,41.41,10451.45,09-03-2020,15.29,1.8,0.89,,14845.1,30-03-2021,15.29,-0.04,,,14310.8,12-04-2021,15.29,-0.04,,,,,,,,
Cyber Media (India) Ltd.,5682.55,28-03-2013,157.52,-0.78,,0.41,6695.9,28-03-2014,79.81,-3.08,,0.22,8661.05,06-02-2015,99.24,-1.46,,0.29,7738.4,31-03-2016,84.53,-6.28,,0.49,9173.75,31-03-2017,89.65,-2.52,,0.75,10113.7,28-03-2018,151.83,-2.07,,1.22,11623.9,29-03-2019,59.83,1.12,4.16,0.43,11303.3,03-03-2020,28.31,-0.66,,,14690.7,31-03-2021,144.92,-0.24,,,17464.75,31-03-2022,488.03,-0.01,,,17359.75,31-03-2023,246.76,-1.85,,
Cyber Media Research & Services Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17080.7,29-03-2023,411.38,5.64,24.93,3.73
Cybertech Systems & Software Ltd.,5682.55,28-03-2013,332.22,4.26,2.95,0.5,6704.2,31-03-2014,627.37,2.33,10.18,0.91,8491,31-03-2015,747.62,1.14,24.51,1.01,7738.4,31-03-2016,972.74,0.93,38.91,1.32,9173.75,31-03-2017,1998.38,2.5,29.47,2.34,10113.7,28-03-2018,1566.74,1.38,41.45,1.76,11623.9,29-03-2019,1207.93,0.42,104.13,1.42,8597.75,31-03-2020,784.19,3.83,7.43,0.81,14690.7,31-03-2021,3332.59,2.7,44.79,3.05,17464.75,31-03-2022,4803.72,3.15,54.16,4.07,17359.75,31-03-2023,2835.92,5.58,17.84,2.18
Cyient Ltd.,5682.55,28-03-2013,18989.24,21.08,8.07,1.65,6704.2,31-03-2014,36478.07,22.42,14.53,2.63,8491,31-03-2015,56394.02,22.81,22,3.57,7738.4,31-03-2016,47996.66,19.14,22.29,2.86,9173.75,31-03-2017,52624.76,20.17,23.17,2.8,10113.7,28-03-2018,78237.33,31.27,22.22,3.76,11623.9,29-03-2019,71747.45,34.74,18.69,3.44,8597.75,31-03-2020,25216.4,23.54,9.74,1.2,14690.7,31-03-2021,71238.8,25.65,25.24,2.97,17464.75,31-03-2022,102346.98,51.58,17.99,3.94,17359.75,31-03-2023,110049.77,30.89,32.22,4.07
D B (International) Stock Brokers Ltd.,5682.55,28-03-2013,3353,1.61,59.66,10.74,6704.2,31-03-2014,3006.5,1.33,64.52,7.88,8491,31-03-2015,1666,0.53,90.05,4.19,7738.4,31-03-2016,694.75,0.2,99.25,1.72,9173.75,30-03-2017,332.5,0.07,127.88,0.82,10184.15,27-03-2018,302.75,0.38,22.94,0.72,11623.9,29-03-2019,274.75,-0.17,,0.67,8597.75,31-03-2020,245,0.6,11.72,0.6,14690.7,31-03-2021,299.25,0.09,90.68,0.73,17464.75,31-03-2022,896,2.31,11.1,1.82,17359.75,31-03-2023,789.25,1.69,13.33,1.43
D B Corp Ltd.,5682.55,28-03-2013,41332.46,11.59,19.44,2.77,6704.2,31-03-2014,56733.72,16,19.33,4.96,8491,31-03-2015,67261.54,16.34,22.42,5.23,7738.4,31-03-2016,57014.29,15.84,19.59,4.07,9173.75,31-03-2017,70100.87,20.48,18.62,4.38,10113.7,28-03-2018,57333.91,17.99,17.32,3.07,11623.9,29-03-2019,32699.68,15.71,11.9,1.83,8597.75,31-03-2020,13926.38,14.4,5.53,0.83,14690.7,31-03-2021,15720.23,6.62,13.58,0.86,17464.75,31-03-2022,15067.57,7.09,12,0.8,17359.75,31-03-2023,17361.44,8,12.2,0.89
D B Realty Ltd.,5682.55,28-03-2013,14498.22,-3.74,,0.43,6704.2,31-03-2014,14704.99,-1.62,,0.44,8491,31-03-2015,16249.69,-1.31,,0.48,7738.4,31-03-2016,10399.31,2.53,16.89,0.35,9173.75,31-03-2017,10143.89,0.16,261.44,0.34,10113.7,28-03-2018,11202.07,1.58,29.16,0.38,11623.9,29-03-2019,4767.87,-3.59,,0.17,8597.75,31-03-2020,1228.46,-5.75,,0.05,14690.7,31-03-2021,5886.86,-3.74,,0.24,17464.75,31-03-2022,27240.03,-8.54,,1.09,17359.75,31-03-2023,22713.98,1,64.4,0.78
D C B Bank Ltd.,5682.55,28-03-2013,10754.8,3.54,12.16,1.18,6704.2,31-03-2014,15332.38,5.86,10.46,1.39,8491,31-03-2015,31289.26,5.63,19.71,2.04,7738.4,31-03-2016,22541.56,7,11.32,1.29,9173.75,31-03-2017,48583.28,6.84,24.88,2.49,10113.7,28-03-2018,49771.11,7.45,21.68,1.98,11623.9,29-03-2019,63364.25,9.32,21.96,2.29,8597.75,31-03-2020,29427.38,11.2,8.46,0.92,14690.7,31-03-2021,31861.01,9.04,11.35,0.9,17464.75,31-03-2022,21581.77,9.62,7.21,0.56,17359.75,31-03-2023,33174.93,14.19,7.5,0.78
D C Infotech & Communication Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8660.25,27-03-2020,234,2.75,14.18,1.53,14549.4,24-03-2021,285.6,2.77,17.2,1.68,17153,25-03-2022,504,2.77,15.18,2.38,17359.75,31-03-2023,1204.8,5.89,17.04,4.08
D C M Financial Services Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10114.75,22-03-2018,47.57,0.57,3.75,,11354.25,25-03-2019,25.44,-2,,,8597.75,31-03-2020,8.85,-0.14,,,14690.7,31-03-2021,27.66,0.08,15.36,,17498.25,30-03-2022,77.44,-0.07,,,17359.75,31-03-2023,78.54,-2.21,,
D C M Ltd.,5682.55,28-03-2013,1068.81,17.5,3.51,0.6,6704.2,31-03-2014,1494.6,11.15,7.71,0.7,8491,31-03-2015,1452.89,7.75,10.79,0.66,7738.4,31-03-2016,1380.76,-13.36,,0.58,9173.75,31-03-2017,2322.58,-1.65,,1.02,10113.7,28-03-2018,1643.64,-17.66,,0.86,11623.9,29-03-2019,1116.93,4.97,12.04,0.56,8597.75,31-03-2020,250.28,-30.76,,1.76,14690.7,31-03-2021,451.07,-12.7,,,17464.75,31-03-2022,1548.39,-9.89,,11.56,17359.75,31-03-2023,1308.38,-8.48,,18.07
D C M Nouvelle Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8597.75,31-03-2020,446.4,2.72,8.79,0.29,14690.7,31-03-2021,1586.67,16,5.31,0.86,17464.75,31-03-2022,4348.18,65.37,3.56,1.42,17359.75,31-03-2023,2521.5,8.48,15.92,0.79
D C M Shriram Inds. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17464.75,31-03-2022,8007.63,6.67,13.8,1.22,17359.75,31-03-2023,5410.91,6.52,9.55,0.77
D C M Shriram Ltd.,5682.55,28-03-2013,8751.4,13.39,3.94,0.65,6704.2,31-03-2014,15043.01,15.71,5.87,0.9,8491,31-03-2015,17443.49,12.76,8.42,0.94,7738.4,31-03-2016,22575.84,21.08,6.59,1.06,9173.75,31-03-2017,47969.61,36.4,8.12,1.89,10113.7,28-03-2018,68905.05,49.7,8.54,2.26,11623.9,29-03-2019,64560.11,43.8,9.45,1.96,8597.75,31-03-2020,33558.78,45.71,4.71,0.82,14690.7,31-03-2021,78150.48,41.72,12.01,1.67,17464.75,31-03-2022,176230.39,65.92,17.14,3.19,17359.75,31-03-2023,116551.27,56.42,13.25,1.86
D C W Ltd.,5682.55,28-03-2013,2643.37,4.6,2.74,0.52,6704.2,31-03-2014,2496.51,1.79,6.66,0.45,8491,31-03-2015,3554.69,-0.35,,0.64,7738.4,31-03-2016,5261.37,0.75,31.83,0.83,9173.75,31-03-2017,6722.25,0.94,32.6,1.03,10113.7,28-03-2018,6784.31,-1.01,,1.08,11623.9,29-03-2019,4817.53,-0.71,,0.78,8597.75,31-03-2020,1892.47,-1.18,,0.28,14690.7,31-03-2021,6839,0.11,246.9,1,17464.75,31-03-2022,10663.09,3.64,11.24,1.35,17359.75,31-03-2023,12794.97,4.92,8.82,1.25
D C X Systems Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17359.75,31-03-2023,14068.46,7.44,19.54,4.81
D F M Foods Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,9173.75,31-03-2017,17391.91,18.44,94.32,20.56,10113.7,28-03-2018,14065.92,21.91,64.05,13.76,11623.9,29-03-2019,10928.64,5.74,38.01,9.09,8597.75,31-03-2020,8751.43,4.81,36.3,6.04,14690.7,31-03-2021,18306.14,5.71,63.78,10.28,17464.75,31-03-2022,14856.33,-4.93,,9.73,16985.7,27-03-2023,23212.37,-9.68,,19.52
D I C India Ltd.,5682.55,28-03-2013,1721.98,22.91,8.19,0.61,6704.2,31-03-2014,3424.22,-20.96,,1.28,8491,31-03-2015,3116.72,-5.58,,1.17,7738.4,31-03-2016,5085.61,30.37,18.24,1.75,9173.75,31-03-2017,4282.45,10.85,43,1.42,10113.7,28-03-2018,4427.02,-4.7,,1.53,11623.9,29-03-2019,3128.65,-16.13,,1.12,8597.75,31-03-2020,2490.72,13.78,19.69,0.83,14690.7,31-03-2021,3604.13,-12.72,,0.95,17464.75,31-03-2022,3149.31,3.52,97.5,0.82,17359.75,31-03-2023,3453.59,6.24,60.27,0.82
D J Mediaprint & Logistics Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17359.75,31-03-2023,1468.26,3.08,44.09,5.14
D K Enterprises Global Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17464.75,31-03-2022,319.09,4.2,10.13,1.74,17359.75,31-03-2023,420.45,5.09,11.01,1.93
D L F Ltd.,5682.55,28-03-2013,398689.37,3.11,75.54,2.69,6704.2,31-03-2014,314337.08,4.89,36.11,1.89,8491,31-03-2015,281990.01,5.27,30.03,1.64,7738.4,31-03-2016,204681.42,5.39,21.3,1.45,9173.75,31-03-2017,265192.06,3.3,45.07,1.8,10113.7,28-03-2018,359043.49,1.74,115.99,2.47,11623.9,29-03-2019,446852.08,1.64,123.2,2.21,8597.75,31-03-2020,340231.59,4.28,32.11,1.27,14690.7,31-03-2021,710538.23,4,71.71,2.69,17464.75,31-03-2022,941732.34,6.2,61.33,3.46,17359.75,31-03-2023,882943.69,8.99,39.7,3.07
D M C C Speciality Chemicals Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17464.75,31-03-2022,9060.68,8.04,45.21,4.69,17359.75,31-03-2023,5958.15,2.54,94.13,3.01
D P Abhushan Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10113.7,28-03-2018,1587.88,2.19,32.54,,11623.9,29-03-2019,1077.13,4.89,9.89,2.26,8281.1,30-03-2020,1348.64,6.38,9.5,2.12,14690.7,31-03-2021,2614.94,12.33,9.53,2.69,17464.75,31-03-2022,8322.2,18.32,20.42,6.03,17359.75,31-03-2023,6895.67,20.36,15.22,3.81
D P Wires Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10113.7,28-03-2018,990.46,2.75,26.55,1.76,11301.2,12-03-2019,976.9,13.01,5.53,1.33,8597.75,31-03-2020,702.82,12.37,4.19,0.71,14690.7,31-03-2021,1455.17,17.87,6,1.19,17464.75,31-03-2022,4433.34,21.29,15.35,2.92,17359.75,31-03-2023,4931.29,30.23,12.02,2.58
D Q Entertainment (International) Ltd.,5682.55,28-03-2013,844.36,1.16,9.16,0.24,6704.2,31-03-2014,2172.35,4.97,5.51,0.51,8491,31-03-2015,1950.36,3.35,7.34,0.44,7738.4,31-03-2016,1581.7,3.98,5.02,0.33,9173.75,31-03-2017,1827.47,-6.99,,0.7,10113.7,28-03-2018,911.75,-7.22,,0.39,11623.9,29-03-2019,479.66,-2.25,,0.2,8597.75,31-03-2020,79.28,-7.33,,0.05,14845.1,30-03-2021,83.25,-7.38,,0.06,17377.8,06-09-2021,67.39,,,0.05,,,,,,
D R C Systems India Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14690.7,31-03-2021,1131.2,-1.53,,19.85,17222,28-03-2022,1470.77,0.32,118.61,24.31,17359.75,31-03-2023,2144.62,0.98,49.87,6.76
D R S Dilip Roadlines Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11570,28-03-2019,1135.71,1.94,38.89,2.73,8597.75,31-03-2020,1130.43,-0.21,,2.5,14814.75,23-03-2021,1104.83,-2.52,,2.55,17516.3,04-02-2022,1129.68,4.32,17.35,2.24,17151.9,22-03-2023,1354.86,2.3,39.05,2.5
D S J Keep Learning Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14690.7,31-03-2021,90.94,-0.53,,,17222,28-03-2022,104.03,-0.4,,,17359.75,31-03-2023,275.9,0.01,212.23,44.5
D S Kulkarni Developers Ltd.,5682.55,28-03-2013,1764.79,7.31,9.36,0.36,6704.2,31-03-2014,1385.51,5.05,10.63,0.28,8491,31-03-2015,1949.27,7.3,10.35,0.38,7738.4,31-03-2016,1871.86,4.96,14.62,0.44,9173.75,31-03-2017,1447.44,0.34,166.37,0.34,10124.35,20-03-2018,349.6,-1.21,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D-Link (India) Ltd.,5682.55,28-03-2013,814.63,3.82,7.11,0.95,6704.2,31-03-2014,871.64,4.52,6.43,0.87,8491,31-03-2015,5920.43,5.93,28.13,4.4,7738.4,31-03-2016,4175.37,5.95,19.78,2.73,9173.75,31-03-2017,4956.48,4.26,32.78,2.94,10113.7,28-03-2018,2877.67,-0.68,,1.65,11623.9,29-03-2019,2932.7,9.22,8.95,1.52,8597.75,31-03-2020,2165.8,6.94,8.79,0.95,14690.7,31-03-2021,3736.89,8.21,12.82,1.48,17464.75,31-03-2022,4961.8,11.3,12.36,1.73,17359.75,31-03-2023,8281.51,23.8,9.8,2.3
Dabur India Ltd.,5682.55,28-03-2013,238694.95,3.23,42.4,14.72,6704.2,31-03-2014,313276.02,3.86,46.52,16.47,8491,31-03-2015,466441.76,4.34,61.18,19.97,7738.4,31-03-2016,439609.38,5.3,47.14,14.21,9173.75,31-03-2017,488557.71,5.67,48.9,13.36,10113.7,28-03-2018,578483.34,5.88,55.83,13.92,11623.9,29-03-2019,722059.82,6.7,60.98,19.24,8597.75,31-03-2020,795267.1,6.65,67.64,17.39,14690.7,31-03-2021,955293.4,7.78,69.47,17.72,17464.75,31-03-2022,947924.65,7.94,67.5,16.17,17359.75,31-03-2023,965433.91,7.72,70.6,15.36
Dalmia Bharat Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11623.9,29-03-2019,190932.49,4.04,244.79,19.94,8597.75,31-03-2020,94665.47,7.1,69.1,1.24,14690.7,31-03-2021,297329.73,1.28,1238.87,3.96,17464.75,31-03-2022,280228.59,9.87,151.47,3.51,17359.75,31-03-2023,369008.22,10.4,189.23,4.7
Dalmia Bharat Ltd. [Merged],5682.55,28-03-2013,11857.7,4.62,31.59,2.18,6704.2,31-03-2014,20496.24,5.71,44.23,3.59,8491,31-03-2015,34477.04,3.13,135.84,5.92,7738.4,31-03-2016,70959.17,7.12,112.24,5.37,9173.75,31-03-2017,174880.08,7.12,275.97,12.56,10113.7,28-03-2018,256239.97,9.14,314.56,17.53,10728.85,28-11-2018,211551.87,4.96,478.41,14.23,,,,,,,,,,,,,,,,,,,,,,,,
Dalmia Bharat Sugar & Inds. Ltd.,5682.55,28-03-2013,1137.2,6.1,2.3,0.25,6704.2,31-03-2014,1270.75,0.25,62.91,0.28,8491,31-03-2015,1408.34,-0.33,,0.31,7738.4,31-03-2016,8057.51,7.22,13.79,1.59,9173.75,31-03-2017,14042.97,23.03,7.53,1.12,10113.7,28-03-2018,5208.44,22.9,2.81,0.37,11623.9,29-03-2019,10020.29,15.89,7.79,0.63,8597.75,31-03-2020,3909.37,24.46,1.97,0.24,14690.7,31-03-2021,15111.37,33.11,5.64,0.72,17464.75,31-03-2022,38931.8,30.85,15.59,1.65,17359.75,31-03-2023,27353.44,27.82,12.15,1.01
Dalmia Refractories Ltd. [Merged],5682.55,28-03-2013,205.04,3.14,20.71,0.37,6695.9,28-03-2014,165.48,3.33,15.76,0.29,8952.35,29-01-2015,354.61,-6.92,,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damodar Industries Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,9173.75,31-03-2017,878.94,8.12,9.73,0.89,10113.7,28-03-2018,1438.01,10.26,12.6,1.34,11623.9,29-03-2019,910.09,4.84,8.45,0.82,8597.75,31-03-2020,419.4,-2.98,,0.43,14690.7,31-03-2021,556.87,-4.85,,0.58,17464.75,31-03-2022,1402.66,6.85,8.79,1.22,17359.75,31-03-2023,902.88,-0.41,,0.79
Dangee Dums Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11623.9,29-03-2019,1899.02,1.3,142.78,5.66,7610.25,23-03-2020,1180.47,2.61,44.05,3.35,14690.7,31-03-2021,1328.8,-9.54,,7.02,17464.75,31-03-2022,3281.72,-2.34,,18.51,17359.75,31-03-2023,2209.54,-0.04,,12.92
Data Patterns (India) Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17464.75,31-03-2022,36471.13,18.37,38.26,6.35,17359.75,31-03-2023,77017.15,22.15,62.11,6.6
Datamatics Global Services Ltd.,5682.55,28-03-2013,1553.32,4.88,5.4,0.44,6704.2,31-03-2014,2912.1,7,7.06,0.74,8491,31-03-2015,3952.55,4.31,15.56,0.95,7738.4,31-03-2016,3171.47,5.06,10.63,0.71,9173.75,31-03-2017,7468.88,6.36,19.92,1.78,10113.7,28-03-2018,6021.67,7.94,12.87,1.35,11623.9,29-03-2019,6071.78,5.1,20.21,1.3,8597.75,31-03-2020,2419.87,5.61,7.32,0.48,14690.7,31-03-2021,6799.81,10.4,11.1,1.22,17464.75,31-03-2022,17661.22,18.63,16.08,2.63,17359.75,31-03-2023,16753.4,17.49,16.24,2.18
De Nora India Ltd.,5682.55,28-03-2013,817,23.64,6.51,2.43,6704.2,31-03-2014,608.9,7.12,16.11,1.64,8491,31-03-2015,693.31,7.76,16.83,1.7,7738.4,31-03-2016,1679.39,16.86,18.76,3.45,9173.75,31-03-2017,1206.92,5.67,40.1,2.32,10113.7,28-03-2018,2207.06,9.76,42.61,3.99,11623.9,29-03-2019,1553.84,6.93,42.22,2.71,8597.75,31-03-2020,710.3,14,9.56,1.16,14690.7,31-03-2021,1333.26,9.68,25.94,1.99,17464.75,31-03-2022,2124.78,29.25,13.68,2.6,17359.75,31-03-2023,4521.1,36.26,23.49,4.45
Debock Industries Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11058.2,07-03-2019,98.64,0.73,16.44,0.43,8597.75,31-03-2020,36.99,1.06,4.25,0.16,14690.7,31-03-2021,66.17,2.58,3.12,0.26,17464.75,31-03-2022,3413.34,2.9,50.72,6.7,17359.75,31-03-2023,1184.82,1.68,9.21,1.44
Deccan Cements Ltd.,5682.55,28-03-2013,1468.69,40.98,5.12,0.65,6704.2,31-03-2014,1232.66,6.81,25.84,0.54,8491,31-03-2015,2222.29,26.97,11.76,0.91,7738.4,31-03-2016,4097.19,64.28,9.1,1.43,9173.75,31-03-2017,7874.67,66.92,16.8,2.37,10113.7,28-03-2018,7085.69,29.06,17.41,1.96,11623.9,29-03-2019,5812.41,29.98,13.84,1.47,8597.75,31-03-2020,2747.57,40.5,4.84,0.61,14690.7,31-03-2021,5808.91,80.33,5.16,1.03,17464.75,31-03-2022,7781.17,75.23,7.38,1.21,17359.75,31-03-2023,5825.72,34.98,11.89,0.85
Deccan Chronicle Holdings Ltd.,6048.5,22-01-2013,1180.69,-34,,15.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Decolight Ceramics Ltd.,5682.55,28-03-2013,340.76,-2.61,,0.36,6704.2,31-03-2014,132.92,-7.19,,0.25,8491,31-03-2015,67.67,-5.63,,0.84,8398.3,23-04-2015,62.84,-5.63,,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deep Energy Resources Ltd.,5682.55,28-03-2013,779.83,4.64,6.75,0.49,6704.2,31-03-2014,1182.56,7.63,5.9,0.64,8491,31-03-2015,1351.96,7.16,6.47,0.62,7738.4,31-03-2016,4206.26,14.42,9.99,1.66,9173.75,31-03-2017,10537.6,23.38,14.08,2.73,10113.7,28-03-2018,4635.2,25.32,5.72,1.04,11623.9,29-03-2019,4443.2,20.59,6.74,0.89,8597.75,31-03-2020,1705.6,-0.01,,0.45,14690.7,31-03-2021,1080,0.01,2700,0.28,17464.75,31-03-2022,1673.6,0.01,5578.67,0.44,17359.75,31-03-2023,3433.6,0.87,123.07,0.89
Deep Industries Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17464.75,31-03-2022,7299.2,20.11,11.34,0.67,17359.75,31-03-2023,8592,24.47,10.97,0.74
Deepak Fertilisers & Petrochemicals Corpn. Ltd.,5682.55,28-03-2013,8842.55,17.77,5.64,0.66,6704.2,31-03-2014,10584.59,27.73,4.33,0.71,8491,31-03-2015,12092.9,8.97,15.29,0.79,7738.4,31-03-2016,13023.46,4.22,35.03,0.83,9173.75,31-03-2017,22964.16,10.25,25.4,1.47,10113.7,28-03-2018,25447.13,4.64,62.22,1.57,11623.9,29-03-2019,11598.95,7.38,17.83,0.73,8597.75,31-03-2020,6709.72,-4.44,,0.42,14690.7,31-03-2021,23266.63,19.45,11.65,1.17,17464.75,31-03-2022,67694.85,15.28,36.74,2.5,17359.75,31-03-2023,69266.69,22.05,24.89,2.31
Deepak Nitrite Ltd.,5682.55,28-03-2013,2770.26,27.77,9.54,0.99,6704.2,31-03-2014,4463.78,38.1,11.21,1.46,8491,31-03-2015,7160.87,4.89,13.99,2.07,7738.4,31-03-2016,7907.6,5.71,11.92,1.66,9173.75,31-03-2017,17155.85,2.69,48.74,2.34,10113.7,28-03-2018,33811.83,5.62,44.11,3.58,11623.9,29-03-2019,37392.15,5.9,46.46,3.71,8597.75,31-03-2020,52518.14,40.32,9.55,3.52,14690.7,31-03-2021,225935.07,25.41,65.19,12.25,17464.75,31-03-2022,306031.89,35.04,64.03,13.57,17359.75,31-03-2023,251317.82,34.16,53.93,9.57
Delhivery Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17359.75,31-03-2023,241678.38,-11.15,,2.59
Delphi World Money Ltd.,5682.55,28-03-2013,809.5,20.66,3.39,1.02,6704.2,31-03-2014,809.5,15.81,4.43,0.99,8491,31-03-2015,3252.48,16.35,17.2,3.65,7738.4,31-03-2016,1965.94,19.07,8.92,1.96,9173.75,31-03-2017,4007.05,19.9,17.41,2.94,10113.7,28-03-2018,12272.67,37.49,28.3,7.24,11623.9,29-03-2019,5818.22,22.83,22.91,3.27,8597.75,31-03-2020,4116.76,22.32,16.57,2.87,14690.7,31-03-2021,5315.24,36.22,13.19,2.89,17464.75,31-03-2022,5214.53,6.13,76.46,2.72,17359.75,31-03-2023,3603.77,13.52,23.96,1.74
Delta Corp Ltd.,5682.55,28-03-2013,9323.6,1.23,33.55,1.34,6704.2,31-03-2014,22552.83,2.03,48.71,2.76,8491,31-03-2015,18545.39,1.26,64.06,2.15,7738.4,31-03-2016,15223.83,1.57,41.93,1.72,9173.75,31-03-2017,41947.13,2.26,80.02,4.4,10113.7,28-03-2018,66964.52,3.06,81.7,4.24,11623.9,29-03-2019,69035.05,5.82,43.78,3.73,8597.75,31-03-2020,17705.81,3.66,17.84,0.92,14690.7,31-03-2021,43265.01,0.99,163.57,2.15,17464.75,31-03-2022,88208.35,3.55,92.86,4.37,17359.75,31-03-2023,48354.52,8.28,21.83,2.23
Delta Manufacturing Ltd.,5818.6,06-03-2013,191.32,-1.84,,1.78,6641.75,27-03-2014,172.8,-0.31,,1.63,8342.15,26-03-2015,223.25,0.49,69.77,1.81,7735.2,30-03-2016,178.28,-0.48,,1.45,9173.75,31-03-2017,241.05,-1.84,,1.1,10113.7,28-03-2018,384.05,-0.48,,1.73,11623.9,29-03-2019,472.38,-1.5,,2.18,8597.75,31-03-2020,292.98,-12.52,,1.43,14690.7,31-03-2021,341.81,-8.13,,2.91,17464.75,31-03-2022,738.96,-13.57,,2.1,17359.75,31-03-2023,744.39,-13.72,,2.72
Den Networks Ltd.,5682.55,28-03-2013,25431.07,3.27,57.94,3.16,6704.2,31-03-2014,34107.44,-0.06,,1.94,8491,31-03-2015,21464.17,-6.21,,1.3,7738.4,31-03-2016,15378.64,-21.19,,1.45,9173.75,31-03-2017,16045.94,-10.47,,1.93,10113.7,28-03-2018,19802.73,-4.01,,2.48,11623.9,29-03-2019,34216.95,-2.24,,1.22,8597.75,31-03-2020,14459.88,1.22,24.88,0.53,14690.7,31-03-2021,23503.27,4.96,9.93,0.8,17464.75,31-03-2022,17609.56,3.71,9.95,0.56,17359.75,31-03-2023,12789.6,2.76,9.73,0.37
Dena Bank [Merged],5682.55,28-03-2013,31330.24,22.93,3.9,0.63,6704.2,31-03-2014,32537.89,9.76,6.2,0.51,8491,31-03-2015,28534.46,2.6,19.55,0.43,7738.4,31-03-2016,19241.05,-18.93,,0.31,9173.75,31-03-2017,30147.84,-13.29,,0.52,10113.7,28-03-2018,42470.07,-8.14,,0.45,11058.2,07-03-2019,28576.94,-9.92,,0.42,,,,,,,,,,,,,,,,,,,,,,,,
Denso India Pvt. Ltd.,5682.55,28-03-2013,1218.34,-29.52,,0.81,6101.1,28-10-2013,3979.82,-22.56,,2.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
