,name,ticker,industry,NIFTY closing,Date,Market Capitalisation,EPS,P/E,P/B,Beta
0,Avenue Supermarts Ltd.,DMART,Retail,17359.75,31-03-2023,2204778.2,37.32,91.13,13.36,1.03
1,Canara Bank,CANBK,Banks,17359.75,31-03-2023,516029.35,56.59,5.03,0.78,1.69
2,Cummins India Ltd.,CUMMINSIND,Capital Goods-Non Electrical Equipment,17359.75,31-03-2023,451725.12,40.66,40.08,8.42,1.08
3,Cupid Ltd.,CUPID,Miscellaneous,17359.75,31-03-2023,3375.18,23.38,10.82,2.02,1.23
4,Cybertech Systems & Software Ltd.,CYBERTECH,IT - Software,17359.75,31-03-2023,2835.92,5.58,17.84,2.18,1.35
5,Cyient Ltd.,CYIENT,IT - Software,17359.75,31-03-2023,110049.77,30.89,32.22,4.07,0.88
6,D B Realty Ltd.,DBREALTY,Realty,17359.75,31-03-2023,22713.98,1.0,64.4,0.78,1.74
7,D-Link (India) Ltd.,DLINKINDIA,IT - Hardware,17359.75,31-03-2023,8281.51,23.8,9.8,2.3,1.52
8,Dabur India Ltd.,DABUR,FMCG,17359.75,31-03-2023,965433.91,7.72,70.6,15.36,0.59
9,Datamatics Global Services Ltd.,DATAMATICS,IT - Software,17359.75,31-03-2023,16753.4,17.49,16.24,2.18,1.65
10,De Nora India Ltd.,DENORA,Capital Goods-Non Electrical Equipment,17359.75,31-03-2023,4521.1,36.26,23.49,4.45,1.2
11,Deccan Cements Ltd.,DECCANCE,Cement,17359.75,31-03-2023,5825.72,34.98,11.89,0.85,1.13
12,Deepak Nitrite Ltd.,DEEPAKNTR,Chemicals,17359.75,31-03-2023,251317.82,34.16,53.93,9.57,1.24
13,Delta Corp Ltd.,DELTACORP,Entertainment,17359.75,31-03-2023,48354.52,8.28,21.83,2.23,1.64
14,Den Networks Ltd.,DEN,Entertainment,17359.75,31-03-2023,12789.6,2.76,9.73,0.37,1.16
15,Dev Information Technology Ltd.,DEVIT,IT - Software,17359.75,31-03-2023,2072.5,3.9,24.04,4.92,1.06
16,Dhampur Sugar Mills Ltd.,DHAMPURSUG,Sugar,17359.75,31-03-2023,14840.95,21.69,10.31,1.43,1.35
17,Dhanlaxmi Bank Ltd.,DHANBANK,Banks,17359.75,31-03-2023,3656.02,1.25,11.57,0.45,1.43
18,Dhanuka Agritech Ltd.,DHANUKA,Agro Chemicals,17359.75,31-03-2023,27866.59,45.5,13.44,2.63,0.97
19,Dhunseri Investments Ltd.,DHUNINV,Finance,17359.75,31-03-2023,3654.65,11.79,50.83,1.04,1.11
20,Dhunseri Ventures Ltd.,DVL,Petrochemicals,17359.75,31-03-2023,7637.15,34.45,6.33,0.53,1.18
21,Dixon Technologies (India) Ltd.,DIXON,Consumer Durables,17359.75,31-03-2023,170419.5,35.46,80.69,15.19,1.16
22,Dollar Industries Ltd.,DOLLAR,Textiles,17359.75,31-03-2023,19725.87,9.05,38.45,2.75,1.33
23,Donear Industries Ltd.,DONEAR,Textiles,17359.75,31-03-2023,4191.2,6.97,11.57,2.45,1.37
24,Ducon Infratechnologies Ltd.,DUCON,IT - Software,17359.75,31-03-2023,1442.67,0.15,37.18,0.96,1.49
25,Dynacons Systems & Solutions Ltd.,DSSL,IT - Software,17359.75,31-03-2023,3973.57,26.3,11.9,3.83,1.13
26,Dynamatic Technologies Ltd.,DYNAMATECH,Capital Goods-Non Electrical Equipment,17359.75,31-03-2023,18760.68,42.92,64.36,3.66,1.29
27,Edelweiss Financial Services Ltd.,EDELWEISS,Finance,17359.75,31-03-2023,49616.28,25.32,2.08,0.68,1.49
28,Eicher Motors Ltd.,EICHERMOT,Automobile,17359.75,31-03-2023,806456.13,95.88,30.76,6.26,1.15
29,Eimco Elecon (India) Ltd.,EIMCOELECO,Capital Goods-Non Electrical Equipment,17359.75,31-03-2023,2054.7,35.28,10.1,0.59,1.15
30,Electrosteel Castings Ltd.,ELECTCAST,"Castings, Forgings & Fastners",17359.75,31-03-2023,19086.83,5.64,5.69,0.45,1.35
31,Elgi Equipments Ltd.,ELGIEQUIP,Capital Goods-Non Electrical Equipment,17359.75,31-03-2023,138853.69,8.27,52.99,11.36,1.28
32,Emami Ltd.,EMAMILTD,FMCG,17359.75,31-03-2023,158174.33,13.39,26.77,6.99,0.94
33,Emami Paper Mills Ltd.,EMAMIPAP,Paper,17359.75,31-03-2023,6775.89,11.26,9.95,1.49,1.4
34,Emkay Global Financial Services Ltd.,EMKAY,Stock/ Commodity Brokers,17359.75,31-03-2023,1574.51,4.26,15.0,1.04,1.78
35,Emkay Taps & Cutting Tools Ltd.,EMKAYTOOLS,Engineering,17359.75,31-03-2023,3137.36,41.35,7.11,1.39,0.83
36,Emmbi Industries Ltd.,EMMBI,Packaging,17359.75,31-03-2023,1373.65,4.7,16.51,0.85,1.49
37,Endurance Technologies Ltd.,ENDURANCE,Auto Ancillaries,17359.75,31-03-2023,174654.03,28.58,43.45,5.24,1.0
38,Engineers India Ltd.,ENGINERSIN,Infrastructure Developers & Operators,17359.75,31-03-2023,41844.05,5.3,14.04,1.99,1.05
39,Equitas Small Finance Bank Ltd.,EQUITAS,Finance,17359.75,31-03-2023,74518.45,3.65,18.39,1.44,1.12
40,Eris Lifesciences Ltd.,ERIS,Pharmaceuticals,17359.75,31-03-2023,77801.16,29.27,19.55,3.51,0.44
41,Esab India Ltd.,ESABINDIA,Capital Goods-Non Electrical Equipment,17359.75,31-03-2023,54381.23,85.04,41.54,20.89,1.0
42,Ester Industries Ltd.,ESTER,Packaging,17359.75,31-03-2023,7246.92,19.49,4.46,0.94,1.38
43,Excel Industries Ltd.,EXCEL,IT - Software,17359.75,31-03-2023,9994.33,60.88,13.06,1.01,1.33
44,Excel Industries Ltd.,EXCELINDUS,Chemicals,17359.75,31-03-2023,9994.33,60.88,13.06,1.01,1.33
45,Exide Industries Ltd.,EXIDEIND,Auto Ancillaries,17359.75,31-03-2023,151257.5,10.53,16.9,1.35,0.96
46,Expleo Solutions Ltd.,EXPLEOSOL,IT - Software,17359.75,31-03-2023,12598.77,117.71,10.44,2.69,1.19
47,Federal Bank Ltd.,FEDERALBNK,Banks,17359.75,31-03-2023,279973.41,13.53,9.78,1.3,1.41
48,Federal-Mogul Goetze (India) Ltd.,FMGOETZE,Auto Ancillaries,17359.75,31-03-2023,16995.62,15.91,19.2,1.87,0.9
49,Fiem Industries Ltd.,FIEMIND,Auto Ancillaries,17359.75,31-03-2023,20605.66,106.59,14.69,2.71,1.28
