name,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Balkrishna Industries Ltd.,29050.1,31376.4,36090.3,29681.2,33182.2,41121.5,47988.2,42184.4,50270.8,76356.1
Balrampur Chini Mills Ltd.,31449.2,30407.8,30806.7,31190.9,35034.1,37303.7,45460.8,43240.7,44596.1,42491.5
Bank Of Baroda,343616.4,388946.4,446413.0,563010.7,482390.3,538074.6,559093.8,863493.4,833394.9,780060.4
Bank Of India,343474.5,421184.7,460584.1,522234.0,477164.9,507719.4,521065.8,520579.0,459465.2,448749.2
Bank Of Maharashtra,98339.1,125567.1,133718.3,144449.2,151173.7,141663.5,175396.6,129382.5,141792.0,149231.7
Bata India Ltd.,17944.1,20603.6,27035.0,23413.7,24117.9,25214.8,27697.7,28296.4,16298.8,25981.8
Bayer Cropscience Ltd.,29416.0,32091.0,36160.0,26891.0,28335.0,24604.0,32024.0,35486.0,45353.0,49474.0
Berger Paints India Ltd.,32255.3,35836.5,40346.7,40251.7,45505.1,44471.2,53020.0,51602.7,66397.5,87072.3
Bharat Dynamics Ltd.,14124.9,19988.1,28504.0,42502.5,49393.1,44636.8,31007.5,23261.0,19225.2,25229.2
Bharat Electronics Ltd.,61580.5,58386.6,61931.6,72193.7,85703.2,90419.0,106015.0,112410.2,123454.3,134476.5
Bharat Forge Ltd.,31298.2,33533.8,41411.0,39538.9,36979.5,48169.3,57742.0,42794.2,35673.1,55991.8
Bharat Petroleum Corpn. Ltd.,2513943.3,2706330.1,2465412.8,2117802.7,2423927.6,2723055.4,3352650.5,3292348.0,3016389.2,4295151.9
Bharti Airtel Ltd.,417533.0,443702.0,475300.0,543723.0,750672.0,549932.0,597454.0,942018.0,928951.0,771436.0
Birlasoft Ltd.,6291.1,8110.2,11286.4,10949.6,11949.4,13207.5,14848.8,13611.9,14722.2,18274.6
Blue Dart Express Ltd.,20172.6,18518.1,21661.4,23925.1,25691.2,26752.4,31002.7,32197.2,32051.7,40616.0
Blue Star Ltd.,28162.6,28567.1,30953.9,36005.1,40901.1,44493.5,45716.1,47385.2,38129.8,53524.5
Bombay Burmah Trdg. Corpn. Ltd.,2848.6,2857.3,2889.4,3033.3,2897.6,2754.3,3191.9,2981.7,3119.0,3677.0
Borosil Renewables Ltd.,1469.1,1612.5,2018.3,2487.3,2668.1,2853.3,3650.8,2626.4,4086.4,5183.7
Bosch Ltd.,87298.0,90601.0,122078.0,104227.0,108880.0,109831.0,114770.0,97001.0,100019.0,113265.0
Brigade Enterprises Ltd.,1190.3,9251.9,11741.3,16054.3,13659.9,11436.3,21941.7,16838.8,15884.2,19966.8
Britannia Industries Ltd.,55327.8,61014.0,69989.5,73278.5,80377.5,85807.3,96271.9,98120.1,109547.2,122018.2
C C L Products (India) Ltd.,5366.3,5455.1,6034.8,5934.4,6205.2,7478.6,7138.4,7533.3,6943.6,8895.7
C E S C Ltd.,50507.3,50499.7,56684.0,61678.1,69183.9,74200.4,76507.9,77335.9,68783.3,74804.3
C G Power & Indl. Solutions Ltd.,73600.7,77926.0,79027.5,81109.7,51183.2,54476.6,71512.2,45805.7,36917.9,48942.1
C I E Automotive India Ltd.,4666.9,4185.0,17697.5,13023.9,17524.0,20194.0,31875.0,27779.0,21140.0,33051.0
C S B Bank Ltd.,13834.2,16203.7,17612.3,18284.2,16576.3,15766.8,17937.9,17196.7,20547.1,19235.9
Can Fin Homes Ltd.,3468.1,5058.5,7308.0,9264.4,11184.6,12391.3,14346.2,16543.4,15623.7,15218.7
Canara Bank,347720.2,413575.9,464272.1,525797.6,482575.5,554375.5,562960.5,592657.4,820233.6,804618.5
Caplin Point Laboratories Ltd.,1115.9,1448.2,2040.8,1897.5,2839.9,3502.4,4266.4,3969.1,3500.3,4058.8
Capri Global Capital Ltd.,626.3,844.4,1100.4,1496.3,1804.7,2731.6,3758.2,4464.8,4331.9,6036.8
Carborundum Universal Ltd.,11338.7,12029.7,12542.7,13246.2,14311.3,14760.7,16695.9,15367.9,15092.2,20373.4
Castrol India Ltd.,33792.7,34711.7,36359.2,34708.5,36005.0,35415.0,37350.8,34539.2,28522.9,39308.2
Ceat Ltd.,53156.6,57810.3,58088.3,57241.3,61385.3,60759.2,67932.3,65438.8,71477.9,94906.8
Central Bank Of India Ltd.,226820.8,276273.0,277152.1,317458.7,313807.9,355923.5,339432.0,285567.0,272420.6,252262.2
Century Plyboards (India) Ltd.,12077.3,13508.9,16157.4,16283.1,17558.1,19004.2,21215.2,21232.3,18986.2,28045.3
Century Textiles & Inds. Ltd.,67408.0,73975.0,85512.8,88562.8,85808.9,82237.7,41610.4,31408.8,26317.2,40639.9
Cera Sanitaryware Ltd.,4738.2,6618.8,8156.6,8938.4,9558.6,13333.1,14967.8,13466.7,13005.6,16709.4
Chalet Hotels Ltd.,3645.9,4630.4,5456.0,8029.4,7571.7,10448.2,10223.4,9254.7,4335.6,6203.8
Chambal Fertilisers & Chemicals Ltd.,78197.3,73474.2,88604.2,104192.5,74774.8,71595.0,102352.5,111565.3,111004.0,172209.1
Chemplast Sanmar Ltd.,25225.1,29930.1,30189.5,27308.5,31857.1,9644.2,11233.1,11859.9,12408.2,16654.6
Cholamandalam Financial Holdings Ltd.,37295.5,37659.8,41493.4,43695.0,37.8,52.8,69.9,75.7,364.3,280.0
Cholamandalam Investment & Finance Co. Ltd.,22947.3,30159.1,34417.5,37591.6,41780.8,45682.5,58089.8,76028.5,80623.9,79936.3
Cipla Ltd.,73073.5,86060.8,95405.9,107073.7,100811.8,105232.7,109492.7,112981.7,116561.7,139574.0
City Union Bank Ltd.,21403.7,24787.1,27298.9,29204.2,31626.6,33433.5,36044.6,44039.1,42466.5,47384.9
Coal India Ltd.,17594.2,15352.8,12765.5,10916.4,10913.1,11081.2,12782.9,14259.6,7983.9,10815.1
Cochin Shipyard Ltd.,15215.3,15015.4,17447.4,18528.2,19142.1,21228.9,27180.9,30649.1,24134.4,28773.0
Coforge Ltd.,9733.7,11763.9,12570.0,13376.0,14665.0,15354.0,18544.0,20931.0,22781.0,30692.0
Colgate-Palmolive (India) Ltd.,28591.7,33985.0,37336.7,38727.3,39975.0,36534.8,38121.5,38104.3,38914.8,40808.2
Computer Age Mgmt. Services Ltd.,2305.3,2577.6,3025.0,3074.3,3655.6,4906.2,5557.2,5198.3,5151.4,6223.0
Container Corpn. Of India Ltd.,38046.3,43717.0,48971.8,53599.8,51067.8,55049.1,61044.8,64616.7,62643.8,69108.7
Coromandel International Ltd.,81415.9,93436.5,115156.5,114708.6,94563.0,106353.4,133142.9,118939.7,123762.8,179449.0
Creditaccess Grameen Ltd.,807.8,1337.1,2319.7,3829.4,6343.8,7895.9,9616.8,13568.9,18887.6,24008.9
Crisil Ltd.,5717.2,6571.1,7284.1,7870.5,9405.4,9957.1,10031.0,10883.4,8844.6,11353.2
Crompton Greaves Consumer Electricals Ltd.,0.0,0.0,18.7,18073.0,37755.2,38268.7,41763.9,42598.1,43377.2,48201.7
Cummins India Ltd.,44040.0,39080.1,42626.8,45653.6,48841.7,46971.7,53278.5,48736.2,41362.3,57888.7
Cupid Ltd.,276.7,209.8,365.4,469.0,639.6,672.9,721.9,1324.8,1189.1,1208.4
Cybertech Systems & Software Ltd.,354.9,401.3,416.0,455.2,569.5,579.0,549.0,580.4,659.9,759.8
Cyient Ltd.,9062.3,10569.3,11343.8,11291.0,11547.0,12448.0,13550.0,14018.0,12472.0,14606.0
D B Realty Ltd.,565.1,876.5,963.2,2258.1,1402.9,2237.9,1888.7,2032.2,2475.9,4163.1
D C M Shriram Ltd.,55725.9,58373.3,55466.8,58984.3,58623.8,65518.2,74011.6,75469.6,75496.3,93554.8
D L F Ltd.,28503.1,34987.2,31993.3,39824.7,38676.6,34957.1,30275.0,39486.4,34259.4,33216.5
D-Link (India) Ltd.,3442.5,4940.6,6206.4,6986.9,6429.6,6179.2,6955.5,7407.7,7013.1,9290.6
Dabur India Ltd.,38767.5,43761.1,49185.9,47035.6,46543.4,48968.2,52737.5,54862.4,62625.6,71210.8
Dalmia Bharat Ltd.,0.0,0.0,0.0,0.0,1280.0,1440.0,1700.0,1820.0,1720.0,1760.0
Datamatics Global Services Ltd.,1709.8,1810.0,1711.3,2706.5,3005.6,3198.3,3701.0,4525.7,4600.7,5221.4
De Nora India Ltd.,542.2,326.2,280.0,445.1,275.5,293.3,424.5,433.0,468.8,569.8
Deccan Cements Ltd.,6593.0,4987.5,5524.8,7083.0,5456.1,5530.7,6129.3,5131.9,6472.6,9216.1
Deepak Fertilisers & Petrochemicals Corpn. Ltd.,27201.9,38884.3,39701.5,44681.1,20395.1,33026.4,31766.8,18208.2,17703.1,22679.8
Deepak Nitrite Ltd.,10689.2,13508.1,13549.9,13631.1,12899.2,14064.3,17108.9,16899.0,14825.2,21811.3
Delta Corp Ltd.,140.8,1200.0,1732.2,2094.2,2304.3,3643.1,4654.1,4946.0,2463.8,3840.2
Den Networks Ltd.,6810.8,9319.0,10549.9,13450.8,11924.0,11446.3,13244.4,12969.6,11846.3,10885.9
Dev Information Technology Ltd.,438.6,542.9,407.5,454.5,552.9,658.8,680.8,687.6,879.3,942.1
Dhampur Sugar Mills Ltd.,20657.7,19316.9,20136.1,23403.8,26902.1,28555.6,30350.9,32065.4,40077.8,23018.4
