,name,Year,Total income,Total expenses,Total assets,"Current assets (incl. short term investments, loans & advances)",Current liabilities & provisions,Long term borrowings excl current portion,Sales,Year.1,Total income.1,Total expenses.1,Total assets.1,"Current assets (incl. short term investments, loans & advances).1",Current liabilities & provisions.1,Long term borrowings excl current portion.1,Sales.1,Year.2,Total income.2,Total expenses.2,Total assets.2,"Current assets (incl. short term investments, loans & advances).2",Current liabilities & provisions.2,Long term borrowings excl current portion.2,Sales.2,Year.3,Total income.3,Total expenses.3,Total assets.3,"Current assets (incl. short term investments, loans & advances).3",Current liabilities & provisions.3,Long term borrowings excl current portion.3,Sales.3,Year.4,Total income.4,Total expenses.4,Total assets.4,"Current assets (incl. short term investments, loans & advances).4",Current liabilities & provisions.4,Long term borrowings excl current portion.4,Sales.4,Year.5,Total income.5,Total expenses.5,Total assets.5,"Current assets (incl. short term investments, loans & advances).5",Current liabilities & provisions.5,Long term borrowings excl current portion.5,Sales.5,Year.6,Total income.6,Total expenses.6,Total assets.6,"Current assets (incl. short term investments, loans & advances).6",Current liabilities & provisions.6,Long term borrowings excl current portion.6,Sales.6,Year.7,Total income.7,Total expenses.7,Total assets.7,"Current assets (incl. short term investments, loans & advances).7",Current liabilities & provisions.7,Long term borrowings excl current portion.7,Sales.7,Year.8,Total income.8,Total expenses.8,Total assets.8,"Current assets (incl. short term investments, loans & advances).8",Current liabilities & provisions.8,Long term borrowings excl current portion.8,Sales.8,Year.9,Total income.9,Total expenses.9,Total assets.9,"Current assets (incl. short term investments, loans & advances).9",Current liabilities & provisions.9,Long term borrowings excl current portion.9,Sales.9,Year.10,Total income.10,Total expenses.10,Total assets.10,"Current assets (incl. short term investments, loans & advances).10",Current liabilities & provisions.10,Long term borrowings excl current portion.10,Sales.10
121,Dhampur Sugar Mills Ltd.,2013-03-31 00:00:00,15402.6,20657.7,27691.1,15345.6,17559.4,3915.7,15233.2,2014-03-31 00:00:00,19274.5,19316.9,27303.5,14120.0,17136.3,5447.4,19213.6,2015-03-31 00:00:00,20182.8,20136.1,31485.7,16929.4,20074.0,5712.4,19801.4,2016-03-31 00:00:00,23459.0,23403.8,33374.6,16030.0,19019.4,5457.9,23116.5,2017-03-31 00:00:00,26953.3,26902.1,35858.9,17818.9,18942.1,5227.3,26854.4,2018-03-31 00:00:00,33508.4,28555.6,33955.5,14867.1,16596.7,4211.9,33329.7,2019-03-31 00:00:00,27862.5,30350.9,40817.8,21946.1,20255.2,5301.8,27545.3,2020-03-31,34465.1,32065.4,40656.7,21727.4,20222.6,4296.1,33981.7,2021-03-31,43226.4,40077.8,39021.1,18448.9,15518.2,3311.1,22328.7,2022-03-31,22094.8,23018.4,24442.5,11470.2,10258.7,2373.4,22030.3,2023-03-31 00:00:00,28426.7,25579.6,23620.0,9943.1,8096.0,2302.3,28258.0
122,Dhanlaxmi Bank Ltd.,2013-03-31 00:00:00,14286.9,14260.7,138311.6,0.0,2693.7,0.0,0.0,2014-03-31 00:00:00,13661.3,16180.4,146904.9,0.0,4824.9,0.0,0.0,2015-03-31 00:00:00,14232.3,16647.0,143548.2,0.0,3050.2,0.0,0.0,2016-03-31 00:00:00,12841.5,14936.0,124659.1,0.0,3494.3,0.0,0.0,2017-03-31 00:00:00,12130.2,12006.4,123360.3,0.0,2397.6,0.0,0.0,2018-03-31 00:00:00,11205.1,11453.8,122893.6,0.0,2251.6,0.0,0.0,2019-03-31 00:00:00,10720.3,10603.6,118017.9,0.0,2340.4,0.0,0.0,2020-03-31,11076.6,10418.8,122666.1,0.0,3566.2,0.0,0.0,2021-03-31,10750.0,10378.1,130980.1,0.0,3705.0,0.0,0.0,2022-03-31,11262.1,10903.1,138001.5,0.0,3428.7,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,Dhanuka Agritech Ltd.,2013-03-31 00:00:00,6533.6,5901.5,4204.6,3382.9,1415.9,0.0,6464.2,2014-03-31 00:00:00,8434.8,8034.7,5173.1,4066.6,1658.2,0.0,8290.6,2015-03-31 00:00:00,8871.3,7583.6,5939.7,4493.3,1608.8,0.0,8674.1,2016-03-31 00:00:00,9460.5,8460.3,6569.7,4500.9,1437.8,0.0,9081.7,2017-03-31 00:00:00,10183.0,9598.9,7154.6,5038.2,1479.8,0.0,10010.6,2018-03-31 00:00:00,11431.6,9528.2,8246.8,5786.4,1520.7,0.0,11226.5,2019-03-31 00:00:00,12239.2,11334.8,8424.9,5996.2,1684.7,0.0,11358.3,2020-03-31,12690.4,11389.2,9424.5,6739.7,2051.9,25.8,12440.5,2021-03-31,15369.6,13614.0,11450.9,8693.7,2869.6,362.9,15033.6,2022-03-31,16017.8,14039.0,13282.7,9666.4,3163.5,273.5,15682.7,2023-03-31 00:00:00,18477.5,16201.2,14224.9,9087.4,3105.2,256.6,17984.0
124,Dhunseri Investments Ltd.,2013-03-31 00:00:00,84.0,14.6,1863.1,79.7,9.9,0.0,8.4,2014-03-31 00:00:00,98.2,18.4,1934.7,117.0,20.0,0.0,8.8,2015-03-31 00:00:00,278.2,68.8,2341.8,176.5,54.1,0.0,6.8,2016-03-31 00:00:00,207.2,35.2,2575.2,44.0,21.8,0.0,2.4,2017-03-31 00:00:00,149.0,20.6,2691.1,30.6,7.4,0.0,2.4,2018-03-31 00:00:00,158.8,32.1,2763.5,148.9,2.9,0.0,2.4,2019-03-31 00:00:00,101.9,31.8,2953.1,0.0,69.9,0.0,2.4,2020-03-31,122.1,20.7,3047.0,0.0,83.1,0.0,2.5,2021-03-31,157.9,123.4,3327.9,0.0,105.4,0.0,0.0,2022-03-31,136.4,33.6,3631.4,0.0,147.7,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,Dhunseri Ventures Ltd.,2013-03-31 00:00:00,26158.7,26906.3,28048.7,15537.2,15266.4,4001.5,25770.0,2014-03-31 00:00:00,42966.8,41949.6,29643.8,16492.7,15633.8,4290.7,42620.8,2015-03-31 00:00:00,30235.4,29431.9,23017.9,12688.9,10898.1,5049.9,29851.4,2016-03-31 00:00:00,28210.8,27848.9,25209.5,22058.7,15554.7,0.0,0.0,2017-03-31 00:00:00,365.9,586.5,8194.3,1549.7,564.2,0.0,53.2,2018-03-31 00:00:00,9611.2,9952.8,11673.9,7235.5,3292.3,0.0,8990.9,2019-03-31 00:00:00,7976.8,6760.5,10239.7,4873.7,885.5,529.0,7032.7,2020-03-31,622.9,444.6,9741.0,2864.2,778.6,467.9,313.3,2021-03-31,1716.6,485.0,11864.7,3400.1,439.4,407.8,329.7,2022-03-31,2331.1,631.9,14224.1,3583.3,511.4,39.9,536.3,2023-03-31 00:00:00,3149.2,1942.2,15015.7,2312.9,466.8,4.0,970.8
126,Divi'S Laboratories Ltd.,2013-03-31 00:00:00,21927.6,16825.4,35825.5,18739.1,5515.9,21.0,21444.3,2014-03-31 00:00:00,26161.8,19376.2,43168.2,22794.0,6231.5,15.5,25329.5,2015-03-31 00:00:00,31538.4,25381.7,51862.7,27959.9,7723.3,10.5,31115.1,2016-03-31 00:00:00,38471.8,27143.1,50398.5,30584.4,5164.5,4.7,37516.2,2017-03-31 00:00:00,41417.2,31100.6,75266.3,40403.8,6570.7,0.0,40668.0,2018-03-31 00:00:00,39505.5,31003.5,83851.2,45556.9,6422.7,0.0,38395.4,2019-03-31 00:00:00,50362.4,39478.1,88120.3,46484.3,8334.6,0.0,48796.6,2020-03-31,55341.3,42555.2,94283.3,55652.0,18069.7,0.0,53105.7,2021-03-31,68905.4,50358.2,113549.6,67432.9,17068.7,0.0,68203.4,2022-03-31,90376.9,65391.4,145890.4,95555.7,24280.1,0.0,89236.6,2023-03-31 00:00:00,80267.0,61683.9,148024.0,96692.2,15121.4,0.0,76770.9
127,Dixon Technologies (India) Ltd.,2013-03-31 00:00:00,7248.7,7216.5,2567.0,1670.1,1313.2,455.3,0.0,2014-03-31 00:00:00,11022.6,10938.8,2660.6,1743.6,1345.2,398.0,10917.1,2015-03-31 00:00:00,11403.6,11401.3,2828.9,1850.7,1415.9,388.7,11350.8,2016-03-31 00:00:00,12912.2,12675.2,3265.6,1983.7,1548.7,508.3,12732.8,2017-03-31 00:00:00,16767.9,16522.4,5143.0,3458.1,2953.9,98.9,16683.6,2018-03-31 00:00:00,22196.7,21923.3,6851.7,4608.5,3522.9,80.0,22158.4,2019-03-31 00:00:00,25299.5,24785.9,11148.5,8485.4,7238.8,46.3,25247.8,2020-03-31,36806.9,36016.6,14252.5,9911.5,7989.0,908.4,36707.3,2021-03-31,56782.3,55250.7,24233.2,18961.4,15534.4,1418.0,56746.0,2022-03-31,74870.3,73488.7,27296.0,19060.5,14735.1,2939.8,74844.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,Dollar Industries Ltd.,2013-03-31 00:00:00,6071.1,5996.4,3384.0,2787.2,1982.9,467.2,6040.4,2014-03-31 00:00:00,6922.8,6663.8,3470.6,2670.6,1962.0,390.2,6889.2,2015-03-31 00:00:00,7305.5,7167.4,4216.4,3322.1,2389.3,538.3,7242.4,2016-03-31 00:00:00,8299.6,8688.3,5170.8,4267.6,3064.2,552.5,8222.8,2017-03-31 00:00:00,8875.3,8326.3,5474.5,4705.2,2895.5,660.1,8828.8,2018-03-31 00:00:00,9275.8,9263.3,7009.3,6250.0,3004.6,449.8,9231.9,2019-03-31 00:00:00,10334.1,9992.3,8489.7,7641.9,4251.5,34.9,10260.7,2020-03-31,10127.9,9293.5,8484.3,7173.1,3513.4,58.7,10073.3,2021-03-31,11029.2,10350.3,8783.8,7260.6,2943.5,43.6,10994.4,2022-03-31,14378.4,14469.4,11653.5,9895.9,4764.5,51.5,14313.1,2023-03-31 00:00:00,14988.3,13215.9,11057.1,8788.1,3675.8,112.3,14885.7
129,Donear Industries Ltd.,2013-03-31 00:00:00,4088.5,4146.0,4120.1,2667.1,2648.2,697.4,4010.2,2014-03-31 00:00:00,4791.5,4935.2,4344.6,2956.6,3074.0,466.3,4725.3,2015-03-31 00:00:00,5253.4,5143.0,4456.0,3154.0,3336.6,222.3,5131.4,2016-03-31 00:00:00,5212.2,5221.0,4006.7,2873.7,2878.2,174.3,5173.0,2017-03-31 00:00:00,5068.2,4945.3,4153.1,3066.0,2996.1,134.3,4991.5,2018-03-31 00:00:00,5169.0,5352.0,4854.0,3831.0,3606.6,93.6,5140.8,2019-03-31 00:00:00,5970.4,5899.9,5131.2,4194.1,3786.9,29.7,5943.3,2020-03-31,5537.1,5312.7,4969.6,3893.0,3521.1,18.9,5479.3,2021-03-31,3617.4,3468.3,4790.4,3643.9,3368.2,70.7,3576.1,2022-03-31,5817.4,6501.2,6339.3,5268.3,4587.4,145.4,5748.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,Dr. Lal Pathlabs Ltd.,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-03-31 00:00:00,6500.6,5623.1,4540.0,2797.2,1140.8,0.0,6366.1,2016-03-31 00:00:00,8000.2,6742.7,5954.8,4187.6,916.5,0.0,7654.0,2017-03-31 00:00:00,9105.4,7580.6,6841.6,4621.4,888.6,0.0,8818.7,2018-03-31 00:00:00,10555.7,8873.0,9064.5,6214.2,1197.5,0.0,10240.4,2019-03-31 00:00:00,12152.2,10197.8,10830.7,8094.7,1477.0,0.0,11649.0,2020-03-31,13356.7,11124.9,13345.4,8782.4,2271.2,903.6,12736.0,2021-03-31,15473.3,12672.2,15938.2,11090.8,2720.2,1037.4,14905.5,2022-03-31,19349.3,15896.8,22278.1,7154.0,4671.3,2876.3,18787.9,2023-03-31 00:00:00,18157.1,15233.5,23383.0,8262.8,4482.6,1981.4,17690.3
131,Dr. Reddy'S Laboratories Ltd.,2013-03-31 00:00:00,86520.0,74867.0,137652.0,66192.0,40921.0,63.0,83946.0,2014-03-31 00:00:00,100282.0,82658.0,167676.0,89296.0,41360.0,9015.0,98100.0,2015-03-31 00:00:00,103189.0,86671.0,191779.0,104338.0,47091.0,9391.0,100939.0,2016-03-31 00:00:00,106168.0,92713.0,175852.0,102111.0,43888.0,9944.0,102919.0,2017-03-31 00:00:00,103780.0,89920.0,167962.0,86009.0,42651.0,4852.0,97198.0,2018-03-31 00:00:00,96206.0,91053.0,173984.0,91840.0,47300.0,4880.0,93593.0,2019-03-31 00:00:00,108990.0,95557.0,165177.0,89893.0,31354.0,3454.0,106255.0,2020-03-31,125936.0,97558.0,197917.0,101617.0,42355.0,193.0,118504.0,2021-03-31,141502.0,123594.0,220116.0,109989.0,46150.0,177.0,133491.0,2022-03-31,148872.0,136536.0,249684.0,135419.0,60957.0,197.0,144052.0,2023-03-31 00:00:00,175538.0,148115.0,255166.0,138605.0,45119.0,286.0,169625.0
132,Ducon Infratechnologies Ltd.,2013-03-31 00:00:00,321.6,315.4,327.1,142.1,79.6,0.0,320.7,2014-03-31 00:00:00,318.8,327.3,373.7,186.3,105.9,0.0,318.4,2015-03-31 00:00:00,360.6,340.4,377.8,196.2,111.5,0.0,359.6,2016-03-31 00:00:00,326.4,327.3,346.7,178.1,76.8,0.0,325.2,2017-03-31 00:00:00,3990.5,3944.8,2416.1,2251.4,1253.5,258.8,3980.5,2018-03-31 00:00:00,4159.5,4136.2,2569.3,2412.1,1270.2,382.4,4150.0,2019-03-31 00:00:00,3951.2,3887.8,2717.9,2569.5,1774.3,0.0,3942.6,2020-03-31,3815.6,3756.6,2760.4,2616.6,1875.9,0.0,3809.3,2021-03-31,3424.9,3420.7,2749.8,2607.8,1214.5,0.0,3419.5,2022-03-31,1248.8,1240.5,2813.6,2671.6,1270.5,0.0,1244.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,Dynacons Systems & Solutions Ltd.,2013-03-31 00:00:00,587.0,576.0,299.6,195.8,126.3,4.3,585.3,2014-03-31 00:00:00,776.5,772.0,345.1,244.3,165.5,1.8,773.2,2015-03-31 00:00:00,1053.5,1066.5,337.1,292.3,166.2,1.5,1049.2,2016-03-31 00:00:00,1247.0,1229.7,497.2,432.8,313.3,6.3,1241.8,2017-03-31 00:00:00,1588.3,1601.6,531.3,499.0,310.4,6.7,1582.9,2018-03-31 00:00:00,2115.3,2142.6,695.6,665.2,447.7,5.0,2107.0,2019-03-31 00:00:00,3049.1,3037.0,982.5,954.7,658.8,3.0,3037.2,2020-03-31,3301.8,3159.9,1223.8,1182.4,829.7,17.8,3279.5,2021-03-31,4378.0,4623.3,1809.5,1733.6,1237.6,60.6,4359.4,2022-03-31,6558.4,6678.2,2993.2,2904.6,2151.1,137.3,6539.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,Dynamatic Technologies Ltd.,2013-03-31 00:00:00,4707.7,4739.0,6772.8,2012.2,3186.2,1453.9,4674.4,2014-03-31 00:00:00,4876.2,4859.8,6437.2,2302.8,2908.0,1491.9,4719.4,2015-03-31 00:00:00,5367.2,5246.7,7645.0,2793.7,3383.1,1154.0,4876.2,2016-03-31 00:00:00,4638.8,4903.1,7784.9,2894.4,2536.0,2115.8,4588.3,2017-03-31 00:00:00,5473.1,5460.5,12475.6,3260.3,3049.1,3649.1,5314.3,2018-03-31 00:00:00,4947.9,4925.4,13380.6,4173.3,3918.9,3618.6,4883.2,2019-03-31 00:00:00,7032.6,6635.4,12878.5,4067.0,3302.4,3439.2,5921.5,2020-03-31,6079.1,8227.1,10785.9,3823.7,3565.6,3381.1,5696.3,2021-03-31,5181.4,4869.0,10276.5,3987.1,2842.3,3291.6,5137.4,2022-03-31,6161.4,5623.2,10191.8,4010.9,3081.9,2571.7,5489.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,E I D-Parry (India) Ltd.,2013-03-31 00:00:00,24226.1,24925.0,40155.4,13127.0,14024.3,7591.6,20485.3,2014-03-31 00:00:00,20014.1,20482.4,43218.8,14885.6,15607.7,9284.6,18474.3,2015-03-31 00:00:00,23350.7,22247.2,44205.8,15452.4,18102.1,6730.9,21572.6,2016-03-31 00:00:00,27868.6,24352.7,40187.8,13732.5,17872.0,6606.4,26951.3,2017-03-31 00:00:00,26312.1,22947.7,37544.3,11491.6,13942.2,5687.6,23791.9,2018-03-31 00:00:00,22902.9,25642.2,43711.5,15997.2,21327.3,2749.8,19691.6,2019-03-31 00:00:00,22903.6,19984.4,42093.8,14824.4,18312.5,3520.6,18892.6,2020-03-31,20246.8,20107.7,43884.0,15797.4,19150.9,4540.8,19216.6,2021-03-31,32375.9,23792.6,43899.5,16571.2,14696.7,1175.2,20639.1,2022-03-31,27722.8,25173.1,41778.5,13948.9,10844.4,1105.0,25255.4,2023-03-31 00:00:00,31982.8,29674.2,40874.1,13789.8,8382.5,1435.3,29192.1
136,E I H Ltd.,2013-03-31 00:00:00,11800.7,11291.1,34593.3,2570.0,4816.7,1442.8,11337.7,2014-03-31 00:00:00,12913.3,11962.9,34301.4,2639.1,4521.0,1035.2,12385.9,2015-03-31 00:00:00,13735.2,12922.6,33857.4,2910.9,4340.8,640.1,13350.9,2016-03-31 00:00:00,14939.3,13849.1,33858.5,2831.6,4284.3,271.8,14197.5,2017-03-31 00:00:00,13831.8,12866.4,35313.5,3477.6,3728.7,1519.4,13259.7,2018-03-31 00:00:00,14351.2,13228.4,38467.6,3422.7,5279.3,2537.2,13807.6,2019-03-31 00:00:00,16424.3,15290.9,40301.0,4458.3,6919.1,2098.7,15751.4,2020-03-31,14470.5,13225.8,40636.4,4207.2,6288.6,2980.5,13851.3,2021-03-31,4736.4,8167.6,39136.1,2788.0,4351.6,3286.9,4588.7,2022-03-31,9660.9,10843.0,39088.0,4172.7,5878.1,2818.6,8916.7,2023-03-31 00:00:00,18358.2,15156.5,40273.4,6003.2,4836.2,1877.3,18134.0
137,E P L Ltd.,2013-03-31 00:00:00,6586.3,6085.6,12667.8,3950.6,2921.2,2312.2,6175.6,2014-03-31 00:00:00,7484.8,7009.1,12782.0,3411.4,2451.5,2652.6,7140.6,2015-03-31 00:00:00,8302.2,7714.0,10093.9,3329.5,2184.3,2749.7,8093.4,2016-03-31 00:00:00,8863.5,7755.7,9307.6,3313.4,1296.4,1612.7,8174.5,2017-03-31 00:00:00,9006.8,8341.7,9710.1,3237.4,1530.9,1504.5,8810.5,2018-03-31 00:00:00,8760.5,7983.7,10049.6,3702.8,2369.4,726.2,8522.5,2019-03-31 00:00:00,8637.1,8014.7,10231.2,3190.3,1505.4,1498.6,8463.1,2020-03-31,8941.0,7830.0,10941.0,4149.0,2474.9,1233.1,8042.0,2021-03-31,9552.0,8025.0,15610.0,3377.0,2338.0,989.0,8409.0,2022-03-31,12115.0,10497.0,17685.0,4365.0,2872.0,1424.0,10853.0,2023-03-31 00:00:00,13630.0,11550.0,18729.0,4820.0,3233.0,1372.0,12086.0
138,Easy Trip Planners Ltd.,2013-03-31 00:00:00,5980.1,5957.4,150.6,112.9,96.6,3.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-03-31 00:00:00,8629.4,8640.7,530.1,373.9,306.0,70.7,8621.4,2017-03-31 00:00:00,1281.3,1136.7,1390.8,1197.1,1024.7,0.0,721.9,2018-03-31 00:00:00,2454.0,2453.7,1817.7,1572.9,1367.9,0.0,1014.9,2019-03-31 00:00:00,2811.7,2571.8,2469.5,2286.9,1443.1,0.0,1778.7,2020-03-31,3038.1,2691.6,2895.8,2598.6,1462.6,0.0,2658.2,2021-03-31,2104.9,1481.9,3896.2,3605.0,2009.1,0.0,1980.5,2022-03-31,4124.8,3052.8,4822.7,3239.1,2397.6,0.0,3978.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,Eclerx Services Ltd.,2013-03-31 00:00:00,5798.5,4239.3,5590.5,3768.8,1483.1,0.0,5709.2,2014-03-31 00:00:00,7292.7,4827.6,7274.0,5203.4,1739.0,0.0,7133.8,2015-03-31 00:00:00,8503.0,6346.0,8720.9,6376.6,2058.4,0.0,8183.4,2016-03-31 00:00:00,11448.2,8499.7,10888.5,7210.6,970.7,0.0,11058.9,2017-03-31 00:00:00,11905.8,8594.3,12668.2,8925.6,1257.4,0.0,11620.2,2018-03-31 00:00:00,12114.8,9333.6,12982.1,8900.5,1609.2,0.0,11652.8,2019-03-31 00:00:00,11959.8,9863.7,15096.9,9879.3,1596.5,0.0,11398.2,2020-03-31,11745.9,10510.2,15366.8,9708.1,2520.8,1123.5,11201.6,2021-03-31,12367.9,9980.0,15332.9,8355.0,2015.2,1024.4,11974.0,2022-03-31,15723.6,12174.6,15513.5,8526.7,2501.1,852.6,15513.1,2023-03-31 00:00:00,19454.2,15664.8,15997.2,8876.6,3053.5,994.0,18881.6
140,Edelweiss Financial Services Ltd.,2013-03-31 00:00:00,1600.6,1132.7,21759.5,6832.6,7511.8,2304.1,931.3,2014-03-31 00:00:00,2159.3,1426.3,23365.0,6234.5,6192.9,3057.1,1279.0,2015-03-31 00:00:00,2515.8,1401.0,66246.4,47553.2,48251.8,2375.8,1775.2,2016-03-31 00:00:00,3403.7,1847.8,27403.0,7985.5,9015.4,1062.0,2349.5,2017-03-31 00:00:00,4508.9,3218.8,28532.0,8300.0,9952.1,212.0,2207.5,2018-03-31 00:00:00,4410.0,3027.4,37707.6,0.0,3912.9,0.0,2478.9,2019-03-31 00:00:00,3361.0,2332.2,38099.4,0.0,882.1,0.0,1562.2,2020-03-31,2636.7,1810.9,36831.2,0.0,818.9,0.0,959.8,2021-03-31,17358.3,10196.2,59928.0,0.0,10286.5,0.0,991.2,2022-03-31,14437.4,5103.8,80480.3,0.0,6156.0,0.0,889.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,Eicher Motors Ltd.,2012-12-31 00:00:00,12296.3,11061.4,10297.8,7486.5,3773.0,0.0,11838.5,2013-12-31 00:00:00,20016.7,17550.1,14900.1,10501.9,6358.8,0.0,19215.3,2014-12-31 00:00:00,34465.5,29308.0,22360.7,12290.8,9572.5,0.0,33299.1,2016-03-31 00:00:00,72787.3,60227.3,45284.0,10498.7,12020.2,0.0,69986.3,2017-03-31 00:00:00,81937.4,66482.2,55531.7,13617.2,14833.2,0.0,79690.5,2018-03-31 00:00:00,96031.5,79217.1,78163.9,25257.8,21959.9,0.0,92736.4,2019-03-31 00:00:00,103487.8,84928.0,95000.8,43862.8,19800.9,0.0,98410.0,2020-03-31,98599.4,78457.7,106001.6,63383.3,18568.6,762.3,92446.0,2021-03-31,93672.7,81923.3,126731.2,87650.4,24485.6,459.7,89152.4,2022-03-31,107668.7,92044.1,142991.3,55190.1,28095.0,346.4,102832.5,2023-03-31 00:00:00,148568.2,121698.4,169700.0,35277.5,30729.1,905.3,142169.8
142,Eimco Elecon (India) Ltd.,2013-03-31 00:00:00,1866.3,1794.4,1953.5,1615.2,239.5,0.0,1830.0,2014-03-31 00:00:00,2102.5,1724.3,2250.3,1836.9,366.0,0.0,2065.6,2015-03-31 00:00:00,2146.4,1984.4,2438.6,1908.8,383.8,0.0,2096.5,2016-03-31 00:00:00,1570.8,1477.8,3542.5,1550.3,287.3,0.0,1499.4,2017-03-31 00:00:00,1989.0,1669.9,3467.0,1649.9,222.9,0.0,1859.2,2018-03-31 00:00:00,1522.5,1411.3,3516.0,1730.2,333.7,6.2,1427.3,2019-03-31 00:00:00,1957.3,1654.2,3698.1,1184.4,277.2,12.6,1853.3,2020-03-31,1186.0,1251.6,3703.1,1096.1,219.9,23.6,1085.2,2021-03-31,1374.9,1125.0,3921.4,2030.9,316.5,9.6,1262.2,2022-03-31,969.6,1177.1,3916.5,2255.0,539.8,1.5,850.2,2023-03-31 00:00:00,1833.3,1505.9,3964.6,1525.9,410.2,2.4,1732.9
143,Electrosteel Castings Ltd.,2013-03-31 00:00:00,21140.6,20076.6,50104.3,17815.6,13725.9,12062.2,19823.3,2014-03-31 00:00:00,22998.7,22289.6,54291.8,17687.1,13900.7,15154.8,22350.9,2015-03-31 00:00:00,22987.1,22209.4,54907.4,17961.6,16329.1,12843.8,24466.2,2016-03-31 00:00:00,21201.0,20339.9,58604.7,16345.8,14155.4,11410.6,20161.5,2017-03-31 00:00:00,20129.0,19502.0,58276.5,17346.1,12413.2,11273.0,18320.8,2018-03-31 00:00:00,21741.2,21274.6,56549.9,15955.6,13606.8,8457.6,20758.2,2019-03-31 00:00:00,24617.1,31601.7,50605.8,15779.9,12982.7,8348.3,23537.5,2020-03-31,25299.1,24368.9,50301.6,15805.9,13630.4,7059.7,24879.3,2021-03-31,31569.6,29711.2,68044.1,26462.9,17770.8,8142.0,30855.8,2022-03-31,51138.2,50332.6,82796.9,40980.4,28803.9,8561.3,50215.3,2023-03-31 00:00:00,70393.5,67315.5,81672.9,39248.3,26595.1,7205.5,69160.1
144,Elgi Equipments Ltd.,2013-03-31 00:00:00,8865.8,8137.5,6509.3,3724.2,2097.9,0.0,8732.8,2014-03-31 00:00:00,8836.8,8085.1,7956.1,4446.3,2895.4,0.0,8786.3,2015-03-31 00:00:00,8285.3,7727.2,8299.9,4427.7,2813.3,0.0,8167.7,2016-03-31 00:00:00,9343.3,9197.7,7556.7,3562.5,2447.9,0.0,9226.7,2017-03-31 00:00:00,9630.3,8924.2,7820.1,3850.9,2205.8,0.0,9507.1,2018-03-31 00:00:00,10546.2,9802.9,9325.5,4949.9,2829.1,0.0,10409.8,2019-03-31 00:00:00,11933.8,11058.6,9805.9,5127.9,2677.6,0.0,11791.1,2020-03-31,11305.9,10492.2,10177.9,5242.8,2928.5,34.2,10833.3,2021-03-31,11242.4,10077.4,11845.8,7195.1,3572.7,23.8,11020.9,2022-03-31,16282.7,14638.1,12749.3,8026.4,2808.8,16.7,15851.3,2023-03-31 00:00:00,18400.1,15526.8,15985.6,11052.1,3651.3,17.3,17585.3
145,Emami Ltd.,2013-03-31 00:00:00,17203.3,15067.5,12995.3,8383.3,4609.6,271.9,16695.5,2014-03-31 00:00:00,18288.6,15157.9,14727.9,10326.1,4850.8,150.3,17405.8,2015-03-31 00:00:00,22597.0,17750.5,15680.3,10581.1,2916.7,0.0,20739.9,2016-03-31 00:00:00,22929.1,19808.5,25316.6,3850.0,6310.6,3000.0,21934.6,2017-03-31 00:00:00,24443.4,21111.7,24723.3,3248.8,6638.5,0.0,23449.9,2018-03-31 00:00:00,24691.3,21700.9,26134.2,5419.5,5569.3,0.0,23685.2,2019-03-31 00:00:00,25259.0,22351.3,26054.6,6550.5,4559.0,0.0,24926.7,2020-03-31,24840.1,21984.4,25002.9,8060.6,6022.7,42.9,23952.8,2021-03-31,26863.3,22193.7,23825.0,9394.3,5250.6,14.2,25874.1,2022-03-31,32201.4,24211.9,29231.8,8623.3,7079.5,49.2,28718.6,2023-03-31 00:00:00,29548.1,23481.9,28309.0,9868.7,4452.5,47.5,29123.5
