Balaji Amines Ltd.,1.7,3.24,1.29,0.86,0.57,0.34,0.62,0.72,0.28,0.12,0.25
Balkrishna Industries Ltd.,0.54,0.46,0.31,0.39,0.8,0.42,0.87,0.75,1.45,0.77,1.26
Balrampur Chini Mills Ltd.,0,5.43,0,0,2.47,2.05,0,3.01,0,0.59,0.66
Bandhan Bank Ltd.,,,,,,,0.25,0.67,0,0.32,0
Bank Of Baroda,1.96,5.92,1.09,2.54,0,0.76,0,0,0,0,1.7
Bank Of India,1.98,7.83,0,5,0,0,0,0,0,0,2.41
Bank Of Maharashtra,3.73,6.61,2.39,2.69,0,0,0,0,0,0,1.64
Bata India Ltd.,0.76,0.63,0.45,0.68,0.73,0.5,0.36,0.35,0.27,0.19,3.56
Bayer Cropscience Ltd.,0.35,0.31,0.26,0.5,0.42,0.37,0.42,0.44,2.14,2.91,2.8
Berger Paints India Ltd.,0.81,0.88,0.48,0.47,0.69,0.7,0.56,0.34,0.31,0.39,0.56
Bharat Dynamics Ltd.,,,,,,,2.83,2.39,2.66,1.48,0.88
Bharat Electronics Ltd.,2.1,2.39,0.7,0.63,1.1,1.21,2.39,3.75,2.15,1.91,1.58
Bharat Forge Ltd.,1.74,0.98,0.43,0.9,0.81,0.8,1.02,0.81,0.34,0.48,0.8
Bharat Heavy Electricals Ltd.,2.81,3.13,0.97,0.84,0.29,1.05,2.81,4.68,0,0,0.51
Bharat Petroleum Corpn. Ltd.,1.34,3.03,2.28,2.52,2.28,4.4,6.06,4.16,4.3,21.16,3.2
Bharti Airtel Ltd.,0.29,0.32,0.92,0.77,0.39,0.87,1.63,0,0.36,0,0.39
Bikaji Foods Intl. Ltd.,,,,,,,,,,,0
Biocon Ltd.,1.79,1.72,1.21,1.02,0.5,0.16,0.15,0.17,0,0,0.21
Birla Corporation Ltd.,2.07,1.91,1.13,1.52,0.81,0.58,1.33,0.94,1.04,0.74,1.1
Birlasoft Ltd.,0.62,0.56,0.53,0.77,1.69,1.04,2.11,2.52,1.2,0.84,1.49
Blue Dart Express Ltd.,0.1,2.14,0.73,0.32,0.69,0.32,0.39,0.46,0,0.22,0.95
Blue Star Ltd.,0.6,2.16,1.2,1.38,1.23,1,1.67,1.2,1.36,0.46,0.81
Bombay Burmah Trdg. Corpn. Ltd.,1.09,3.04,0.23,0.25,0.17,0.07,0.08,0.09,0.1,0.11,0.14
Borosil Renewables Ltd.,1.93,1.95,1.06,1.06,0.36,0.25,0.29,0.38,0,0,0
