name,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Bata India Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10353.5,8596.7,8912.9
Bayer Cropscience Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,141.0,518.0
Berger Paints India Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,1850.5,1784.3,1824.3,2456.8
Bharat Dynamics Ltd.,0.0,0.0,0.0,195.9,192.0,187.8,183.3,255.5,238.4,219.5
Bharat Electronics Ltd.,0.0,0.0,0.0,0.0,166.7,333.3,0.0,18.3,11.7,515.1
Bharat Forge Ltd.,14489.8,13599.9,15744.9,13932.8,7903.5,9098.1,14181.7,15954.2,19377.0,15158.8
Bharat Petroleum Corpn. Ltd.,55083.7,118083.6,117370.1,135674.2,137764.4,147582.2,236285.7,262727.0,246348.1,290728.0
Bharti Airtel Ltd.,98408.0,72717.0,196267.0,414570.0,503421.0,544681.0,586120.0,1015293.0,1307238.0,1175358.0
Birlasoft Ltd.,996.9,909.9,630.7,1653.3,985.3,662.1,0.0,1045.1,865.3,799.7
Blue Dart Express Ltd.,0.0,0.0,3321.9,3321.9,1660.9,711.8,750.0,2518.3,2117.8,1445.7
Blue Star Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,796.0,3793.6,2252.2
Bombay Burmah Trdg. Corpn. Ltd.,834.5,631.8,988.5,846.8,605.2,1666.5,1552.7,20.3,3810.1,3059.0
Borosil Renewables Ltd.,0.0,6.9,0.0,0.0,0.0,0.0,236.8,768.3,599.7,1396.3
Bosch Ltd.,1813.0,1289.0,542.0,149.0,0.0,0.0,0.0,521.0,340.0,531.0
Brigade Enterprises Ltd.,7795.8,3747.0,5566.3,9749.5,8586.2,13188.2,15860.6,15124.1,14248.1,13929.7
Britannia Industries Ltd.,4.1,3.4,7.3,4.9,4.4,3.0,2.6,7221.3,7215.5,6985.5
C C L Products (India) Ltd.,156.5,44.7,0.0,0.0,0.0,1817.5,1926.4,2194.6,1319.1,1117.2
C E S C Ltd.,27211.5,28035.2,31829.3,29661.9,37882.0,36799.8,33775.5,37043.8,55581.3,58001.7
C G Power & Indl. Solutions Ltd.,7.5,5.4,84.1,41.5,5036.0,14016.5,10494.3,3091.1,8182.5,3071.3
C I E Automotive India Ltd.,170.2,146.1,223.1,0.0,0.0,0.0,0.0,0.0,419.0,440.0
C S B Bank Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Can Fin Homes Ltd.,28992.6,43288.0,54572.6,69654.6,80282.5,0.0,0.0,0.0,0.0,0.0
Canara Bank,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Caplin Point Laboratories Ltd.,34.6,20.2,8.8,7.3,4.7,3.3,2.9,12.9,5.3,1.6
Capri Global Capital Ltd.,0.0,0.0,375.0,1016.8,5008.3,0.0,0.0,0.0,0.0,0.0
Carborundum Universal Ltd.,11.8,508.6,512.2,259.5,18.0,10.8,2.7,2.5,1.7,1.0
Castrol India Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.2,0.0
Ceat Ltd.,4216.7,4225.1,3543.4,5873.6,7035.1,2723.0,10027.2,17045.3,14079.4,17996.3
Central Bank Of India Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Century Plyboards (India) Ltd.,1556.6,1179.8,814.3,639.7,1467.4,1669.3,1322.7,742.0,379.4,132.4
Century Textiles & Inds. Ltd.,31481.5,28104.2,35622.7,32830.3,31259.5,23924.2,7137.8,5428.6,8498.9,3253.4
Cera Sanitaryware Ltd.,148.9,90.0,142.4,53.4,0.0,0.0,0.0,127.0,102.2,115.2
Chalet Hotels Ltd.,11700.2,14115.0,15519.9,19179.1,20345.7,21991.6,12874.3,14664.7,15799.2,20273.1
Chambal Fertilisers & Chemicals Ltd.,11271.1,10190.7,7818.5,7079.1,10742.2,31564.8,40322.4,39910.6,30889.9,24067.5
Chemplast Sanmar Ltd.,3124.1,1722.6,3794.6,2987.0,2320.4,932.9,6768.4,12232.9,11977.4,112.4
Cholamandalam Financial Holdings Ltd.,6303.6,6380.4,7811.3,3750.0,0.0,0.0,0.0,0.0,0.0,0.0
Cholamandalam Investment & Finance Co. Ltd.,82987.1,98330.0,124475.0,109347.3,151045.7,0.0,0.0,0.0,0.0,0.0
Cipla Ltd.,5.5,4.3,4.1,1.3,0.7,0.0,0.0,493.5,294.6,155.3
City Union Bank Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal India Ltd.,9143.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cochin Shipyard Ltd.,0.0,1230.0,1230.0,1230.0,1230.0,1230.0,1230.0,4962.6,5067.5,5126.3
Coforge Ltd.,55.5,48.9,46.2,60.0,210.0,174.0,97.0,188.0,96.0,3452.0
Colgate-Palmolive (India) Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,777.1,839.7,773.6,690.1
Computer Age Mgmt. Services Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,642.7,613.5,567.7
Container Corpn. Of India Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2968.6,5442.0,5371.8
Coromandel International Ltd.,7720.3,2313.2,668.1,440.6,0.0,0.0,0.0,3754.2,3619.1,3708.9
Creditaccess Grameen Ltd.,1470.1,3700.3,5849.8,11221.5,11758.8,0.0,0.0,0.0,0.0,0.0
Crisil Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,739.7,622.5
Crompton Greaves Consumer Electricals Ltd.,0.0,0.0,0.0,5072.1,6478.4,6485.5,3492.6,1797.2,3226.7,435.4
Cummins India Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.7,136.9,151.3
Cupid Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Cybertech Systems & Software Ltd.,0.0,45.6,0.8,0.4,0.0,0.0,0.0,0.0,0.0,0.0
Cyient Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1014.0,769.0,798.0
D B Realty Ltd.,1123.9,805.4,306.0,1149.6,790.7,1295.0,87.3,0.0,0.0,0.0
D C M Shriram Ltd.,6604.2,5875.4,3006.9,2571.5,4719.4,5269.2,9366.4,10714.3,10627.7,10060.4
D L F Ltd.,82720.1,71527.7,80963.4,63750.6,47596.3,109396.4,48241.4,23946.3,21718.9,20127.7
D-Link (India) Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.9,23.1,3.1
Dabur India Ltd.,8.4,0.0,0.0,7.2,2006.4,2010.4,260.5,246.8,196.2,2894.4
Dalmia Bharat Ltd.,0.0,0.0,0.0,0.0,20.0,20.0,20.0,140.0,50.0,30.0
Datamatics Global Services Ltd.,0.0,520.0,387.5,346.5,79.8,0.0,0.0,0.0,15.7,11.9
De Nora India Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deccan Cements Ltd.,2055.7,1715.6,1163.1,450.1,261.8,249.4,251.5,669.3,517.9,462.4
Deepak Fertilisers & Petrochemicals Corpn. Ltd.,7141.6,5920.8,3385.3,4692.4,0.0,1940.0,4011.3,6025.3,6787.3,4565.2
Deepak Nitrite Ltd.,2393.4,2712.5,2386.0,1589.2,1371.9,929.5,815.9,105.2,72.6,96.1
Delta Corp Ltd.,1.9,881.2,718.4,483.8,240.7,9.7,0.0,23.8,11.2,140.8
Den Networks Ltd.,4006.8,4461.9,3374.8,3173.9,1873.3,3137.2,2636.7,0.0,0.0,0.0
Dev Information Technology Ltd.,22.5,20.8,21.1,25.4,22.2,11.8,24.2,16.5,13.8,5.6
Dhampur Sugar Mills Ltd.,3915.7,5447.4,5712.4,5457.9,5227.3,4211.9,5301.8,4296.1,3311.1,2373.4
Dhanlaxmi Bank Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dhanuka Agritech Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.8,362.9,273.5
Dhunseri Investments Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dhunseri Ventures Ltd.,4001.5,4290.7,5049.9,0.0,0.0,0.0,529.0,467.9,407.8,39.9
Divi'S Laboratories Ltd.,21.0,15.5,10.5,4.7,0.0,0.0,0.0,0.0,0.0,0.0
Dixon Technologies (India) Ltd.,455.3,398.0,388.7,508.3,98.9,80.0,46.3,908.4,1418.0,2939.8
Dollar Industries Ltd.,467.2,390.2,538.3,552.5,660.1,449.8,34.9,58.7,43.6,51.5
Donear Industries Ltd.,697.4,466.3,222.3,174.3,134.3,93.6,29.7,18.9,70.7,145.4
Dr. Lal Pathlabs Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,903.6,1037.4,2876.3
Dr. Reddy'S Laboratories Ltd.,63.0,9015.0,9391.0,9944.0,4852.0,4880.0,3454.0,193.0,177.0,197.0
Ducon Infratechnologies Ltd.,0.0,0.0,0.0,0.0,258.8,382.4,0.0,0.0,0.0,0.0
Dynacons Systems & Solutions Ltd.,4.3,1.8,1.5,6.3,6.7,5.0,3.0,17.8,60.6,137.3
Dynamatic Technologies Ltd.,1453.9,1491.9,1154.0,2115.8,3649.1,3618.6,3439.2,3381.1,3291.6,2571.7
E I D-Parry (India) Ltd.,7591.6,9284.6,6730.9,6606.4,5687.6,2749.8,3520.6,4540.8,1175.2,1105.0
E I H Ltd.,1442.8,1035.2,640.1,271.8,1519.4,2537.2,2098.7,2980.5,3286.9,2818.6
E P L Ltd.,2312.2,2652.6,2749.7,1612.7,1504.5,726.2,1498.6,1233.1,989.0,1424.0
Easy Trip Planners Ltd.,3.5,0.0,0.0,70.7,0.0,0.0,0.0,0.0,0.0,0.0
Eclerx Services Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1123.5,1024.4,852.6
Edelweiss Financial Services Ltd.,2304.1,3057.1,2375.8,1062.0,212.0,0.0,0.0,0.0,0.0,0.0
Eicher Motors Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,762.3,459.7,346.4
Eimco Elecon (India) Ltd.,0.0,0.0,0.0,0.0,0.0,6.2,12.6,23.6,9.6,1.5
Electrosteel Castings Ltd.,12062.2,15154.8,12843.8,11410.6,11273.0,8457.6,8348.3,7059.7,8142.0,8561.3
Elgi Equipments Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.2,23.8,16.7
Emami Ltd.,271.9,150.3,0.0,3000.0,0.0,0.0,0.0,42.9,14.2,49.2
Emami Paper Mills Ltd.,2613.4,3711.5,6543.5,7070.7,6389.6,6731.7,5957.3,4716.7,4053.7,3475.7
Emkay Global Financial Services Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Emkay Taps & Cutting Tools Ltd.,0.0,0.5,1.5,0.2,18.2,6.9,0.1,0.0,0.0,6.3
Emmbi Industries Ltd.,84.5,61.5,70.7,52.4,151.6,381.2,355.2,359.0,560.2,500.9
Endurance Technologies Ltd.,2813.4,2841.9,1670.8,780.8,198.5,49.6,29.8,42.9,27.3,19.7
Equitas Small Finance Bank Ltd.,43.1,1988.7,6811.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eris Lifesciences Ltd.,0.4,0.0,5.0,0.0,0.0,2736.9,0.0,48.5,33.0,345.0
Esab India Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,19.3,6.8
Escorts Kubota Ltd.,1443.0,1443.0,1058.1,874.6,562.5,136.8,1.5,217.3,476.2,413.4
Ester Industries Ltd.,1596.0,1241.5,1248.1,970.3,667.6,275.3,610.5,556.6,993.9,1582.8
Excel Industries Ltd.,105.0,258.7,181.6,101.0,91.5,9.0,0.6,25.3,21.8,17.8
Exide Industries Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273.9,2792.9,2732.3
Expleo Solutions Ltd.,114.3,96.3,73.2,0.0,0.0,0.0,0.0,65.4,50.9,110.2
F D C Ltd.,12.4,10.7,9.0,7.9,7.0,6.0,4.9,96.3,70.0,247.3
Federal Bank Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federal-Mogul Goetze (India) Ltd.,0.0,155.6,72.2,372.2,233.3,0.0,0.0,0.8,89.3,83.1
Fiem Industries Ltd.,761.8,579.6,514.7,908.6,1194.7,865.1,929.6,831.9,464.0,313.5
Filatex India Ltd.,1838.0,2832.1,2191.3,3075.7,3363.5,5415.9,4767.7,6146.7,5378.6,3052.0
Fine Organic Inds. Ltd.,0.0,871.1,553.1,469.7,0.0,0.0,928.2,914.6,567.4,250.9
Fineotex Chemical Ltd.,33.1,7.3,0.0,0.0,0.0,2.2,1.0,0.0,0.0,0.0
Finolex Cables Ltd.,1451.5,1266.9,512.1,257.5,8.3,5.5,3.8,55.7,44.9,66.2
Finolex Industries Ltd.,1397.1,2322.1,1836.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Firstsource Solutions Ltd.,1127.7,1217.7,1218.1,1159.5,676.6,78.6,34.9,1713.7,1953.2,2041.1
Fortis Healthcare Ltd.,6974.3,12516.6,5973.4,6541.8,1831.1,2316.1,3466.0,12190.3,12121.2,10754.3
Foseco India Ltd.,80.4,58.1,35.8,18.5,6.5,0.0,0.0,0.0,0.0,0.0
G A I L (India) Ltd.,81407.8,95260.9,78144.9,57373.0,30045.5,9761.2,8705.8,36685.9,52403.3,57687.7
